Date,Open,High,Low,Close,Adj Close,Volume
2022-01-11,74.339996,79.620003,73.010002,77.269997,77.269997,3994500
2022-01-12,78.419998,78.419998,73.889999,74.080002,74.080002,1284600
2022-01-13,74.220001,75.940002,71.459999,71.620003,71.620003,914000
2022-01-14,71.230003,71.720001,67.919998,69.290001,69.290001,1104200
2022-01-18,67.790001,69.550003,66.440002,66.720001,66.720001,876500
2022-01-19,67.540001,67.582001,65.160004,65.370003,65.370003,750000
2022-01-20,66.519997,68.367996,64.349998,64.449997,64.449997,683900
2022-01-21,63.889999,66.230003,63.500000,63.680000,63.680000,940900
2022-01-24,61.660000,65.529999,58.500000,65.309998,65.309998,1840000
2022-01-25,63.810001,66.000000,62.930000,64.629997,64.629997,755800
2022-01-26,65.790001,66.000000,61.880001,62.900002,62.900002,985900
2022-01-27,62.790001,64.000000,59.869999,60.139999,60.139999,871800
2022-01-28,60.340000,62.840000,58.189999,62.770000,62.770000,740300
2022-01-31,62.680000,66.139999,62.029999,66.070000,66.070000,741700
2022-02-01,66.699997,68.190002,65.349998,66.699997,66.699997,739100
2022-02-02,67.190002,67.959999,64.730003,65.250000,65.250000,464100
2022-02-03,62.549999,66.730003,62.258999,63.860001,63.860001,590300
2022-02-04,63.919998,67.915001,63.430000,67.500000,67.500000,670800
2022-02-07,67.889999,69.570000,67.510002,68.720001,68.720001,636000
2022-02-08,68.720001,73.059998,68.199997,71.980003,71.980003,1012000
2022-02-09,72.790001,74.330002,72.370003,74.260002,74.260002,610500
